customs_id,customs_name
1,AEROP. PETTIROSSI
2,AEROPUERTO GUARANI
3,ALGESA SALTOS GUAIRA
4,CAACUPEMI
5,CAACUPEMI - PILAR
6,CAMPESTRE S.A.
7,CAPITAL
8,CHACOI
9,CIUDAD DEL ESTE
10,CODESA
11,CONCEPCION
12,EMPEDRIL S.A.
13,ENCARNACION
14,GICAL
15,INFANTE RIVAROLA
16,ITA ENRAMADA
17,JOSE FALCON
18,MCAL.ESTIGARRIBIA
19,PAKSA
20,PEDRO JUAN CABALLERO
21,PTO SEGURO FLUVIAL
22,PUERTO SECO BOREAL
23,PUERTOS Y ESTIBAJES
24,SALTOS DEL GUAIRA
25,SANTA HELENA
26,SOLUCION LOGISTICA 
27,TER. DE CARGAS KM.12
28,TERPORT
29,TERPORT - VILLETA
30,VILLETA
31,ZA FRCA GLOBAL
32,ZA FRCA TRANS TRADE